DATE,RATE
JAN-2012,89.23
FEB-2012,110.38
MAR-2012,102.69
APR-2012,120
MAY-2012,122.69
JUN-2012,111.54
JUL-2012,100
AGO-2012,97.5
SEP-2012,97.89
OCT-2012,97.78
NOV-2012,105.71
DEC-2012,129.29
JAN-2013,122.95
FEB-2013,159
MAR-2013,160.59
APR-2013,116.36
MAY-2013,115.53
JUN-2013,94.17
JUL-2013,82.5
AGO-2013,148.85
SEP-2013,145
OCT-2013,107.77
NOV-2013,149.17
DEC-2013,138.89
JAN-2014,96.92
FEB-2014,84.17
MAR-2014,68.46
APR-2014,50
MAY-2014,66.92
JUN-2014,102.5
JUL-2014,138.57
AGO-2014,152.08
SEP-2014,108.08
OCT-2014,117.86
NOV-2014,152.5
DEC-2014,124.44
JAN-2015,65.83
FEB-2015,86.25
MAR-2015,110.69
APR-2015,120.83
MAY-2015,135
JUN-2015,93.46
JUL-2015,78.57
AGO-2015,73.92
SEP-2015,89.23
OCT-2015,123.85
NOV-2015,102.69
DEC-2015,161.88
JAN-2016,250.91
FEB-2016,175.38
MAR-2016,101.36
APR-2016,70.77
MAY-2016,74.83
JUN-2016,82.32
JUL-2016,145.42
AGO-2016,145.36
SEP-2016,104.17
OCT-2016,146.54
NOV-2016,125
DEC-2016,70.56
JAN-2017,66.54
FEB-2017,72.92
MAR-2017,75
APR-2017,98.25
MAY-2017,115.92
JUN-2017,151.92
JUL-2017,236.76
AGO-2017,181.88
SEP-2017,89.38
OCT-2017,99.52
NOV-2017,133.33
DEC-2017,167.54
JAN-2018,116.32
FEB-2018,70
MAR-2018,65.66
APR-2018,76.32
MAY-2018,101.36
JUN-2018,109.98
JUL-2018,78.86
AGO-2018,98.98
SEP-2018,102.63
OCT-2018,103.18
NOV-2018,99.5
DEC-2018,122.75
JAN-2019,159.87
FEB-2019,143.5
MAR-2019,130.88
APR-2019,153.24
MAY-2019,109.95
JUN-2019,97.36
JUL-2019,82.66
AGO-2019,81.23
SEP-2019,79.25
OCT-2019,118.89
NOV-2019,108.93
DEC-2019,142.12
JAN-2020,101.91
FEB-2020,92.13
MAR-2020,112.84
APR-2020,92.88
MAY-2020,114.17
JUN-2020,115.8
